antecedent,consequent,support,confidence,lift,conviction
over-1pt2b-committed-to-the-megaeth-public-sale-863_Yes,over-1b-committed-to-the-megaeth-public-sale_Yes,0.013265306122448979,0.6190476190476191,24.266666666666666,2.5580357142857144
over-1b-committed-to-the-megaeth-public-sale_Yes,over-1pt2b-committed-to-the-megaeth-public-sale-863_Yes,0.013265306122448979,0.52,24.266666666666666,2.0386904761904763
over-1pt8b-committed-to-the-megaeth-public-sale-982-115-476-233-878_Yes,over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,0.013265306122448979,0.6190476190476191,23.333333333333332,2.555357142857143
over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,over-1pt8b-committed-to-the-megaeth-public-sale-982-115-476-233-878_Yes,0.013265306122448979,0.5,23.333333333333332,1.957142857142857
will-the-party-for-freedom-win-the-second-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.010714285714285714,0.6774193548387097,23.293718166383705,3.009846938775511
will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-the-party-for-freedom-win-the-second-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.010714285714285714,0.368421052631579,23.293718166383705,1.5582908163265308
over-1pt2b-committed-to-the-megaeth-public-sale-863_Yes,over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,0.01173469387755102,0.5476190476190477,20.641025641025642,2.1518796992481204
over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,over-1pt2b-committed-to-the-megaeth-public-sale-863_Yes,0.01173469387755102,0.44230769230769235,20.641025641025642,1.754679802955665
over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_No,over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,0.01173469387755102,0.5227272727272728,19.702797202797203,2.0396501457725953
over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_No,0.01173469387755102,0.44230769230769235,19.702797202797203,1.752850105559465
will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_No,will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.012755102040816327,0.5555555555555556,19.103313840155945,2.1845663265306126
will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_No,0.012755102040816327,0.4385964912280702,19.103313840155945,1.7403539540816328
will-zohran-mamdani-win-by-0-10_Yes,will-zohran-mamdani-win-by-10-20_Yes,0.012244897959183673,0.48,17.75094339622641,1.8710753532182103
will-zohran-mamdani-win-by-10-20_Yes,will-zohran-mamdani-win-by-0-10_Yes,0.012244897959183673,0.45283018867924524,17.75094339622641,1.7809641097818434
will-the-party-for-freedom-win-the-second-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.01173469387755102,0.7419354838709679,17.520404197434903,3.7109056122448996
over-1b-committed-to-the-megaeth-public-sale_Yes,over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,0.01173469387755102,0.46,17.33846153846154,1.8027210884353742
over-1pt4b-committed-to-the-megaeth-public-sale-773-958-536_Yes,over-1b-committed-to-the-megaeth-public-sale_Yes,0.01173469387755102,0.44230769230769235,17.33846153846154,1.7473610133708657
us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192_Yes,us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971_Yes,0.01173469387755102,0.4693877551020408,16.42857142857143,1.8307692307692307
us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971_Yes,us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192_Yes,0.01173469387755102,0.41071428571428575,16.42857142857143,1.6545454545454548
"will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes, maduro-out-in-2025-411_No",will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes,0.01173469387755102,0.4893617021276596,15.224586288416077,1.895386904761905
will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes,"will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes, maduro-out-in-2025-411_No",0.01173469387755102,0.3650793650793651,15.224586288416077,1.537232142857143
will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.018367346938775512,0.6315789473684211,14.914394419784404,2.599344023323616
will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,will-democrats-66-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.018367346938775512,0.43373493975903615,14.914394419784404,1.714600521059488
us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192_Yes,us-x-venezuela-military-engagement-by-october-31-434-155-561_Yes,0.014285714285714285,0.5714285714285714,12.307692307692307,2.2249999999999996
us-x-venezuela-military-engagement-by-october-31-434-155-561_Yes,us-x-venezuela-military-engagement-by-november-30-216-397-226-467-735-374-192_Yes,0.014285714285714285,0.30769230769230765,12.307692307692307,1.4083333333333334
khamenei-out-as-supreme-leader-of-iran-in-2025_No,maduro-out-in-2025-411_No,0.012244897959183673,0.5106382978723404,12.05844655216611,1.9569432120674355
will-donald-trump-win-the-nobel-peace-prize-in-2025_No,will-donald-trump-win-nobel-peace-prize-in-2025-635_No,0.011224489795918367,0.43999999999999995,11.977777777777776,1.7201166180758016
will-donald-trump-win-nobel-peace-prize-in-2025-635_No,will-donald-trump-win-the-nobel-peace-prize-in-2025_No,0.011224489795918367,0.3055555555555555,11.977777777777776,1.4032653061224492
will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_No,will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_Yes,0.010714285714285714,0.4666666666666667,11.02008032128514,1.7955994897959184
"will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes, will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes",maduro-out-in-2025-411_No,0.01173469387755102,0.45098039215686275,10.649657453342783,1.7442966472303205
no-change-in-fed-interest-rates-after-september-2025-meeting_Yes,fed-decreases-interest-rates-by-50-bps-after-september-2025-meeting_Yes,0.01683673469387755,0.5238095238095238,10.584192439862544,1.9960714285714287
fed-decreases-interest-rates-by-50-bps-after-september-2025-meeting_Yes,no-change-in-fed-interest-rates-after-september-2025-meeting_Yes,0.01683673469387755,0.3402061855670103,10.584192439862544,1.466908482142857
us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971_Yes,us-x-venezuela-military-engagement-by-october-31-434-155-561_Yes,0.013775510204081633,0.48214285714285715,10.384615384615385,1.8413793103448277
us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971_Yes,maduro-out-in-2025-411_Yes,0.01020408163265306,0.35714285714285715,10.294117647058824,1.5015873015873018
fed-decreases-interest-rates-by-50-bps-after-october-2025-meeting_Yes,no-change-in-fed-interest-rates-after-october-2025-meeting_Yes,0.015306122448979591,0.4477611940298507,10.204790003471016,1.7313568670711528
no-change-in-fed-interest-rates-after-october-2025-meeting_Yes,fed-decreases-interest-rates-by-50-bps-after-october-2025-meeting_Yes,0.015306122448979591,0.3488372093023256,10.204790003471016,1.4832179300291544
no-change-in-fed-interest-rates-after-september-2025-meeting_No,fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes,0.013265306122448979,0.5306122448979591,9.999999999999998,2.017391304347826
will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes,maduro-out-in-2025-411_No,0.013265306122448979,0.41269841269841273,9.745649263721553,1.6305984555984558
maduro-out-in-2025-411_No,will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes,0.013265306122448979,0.3132530120481927,9.745649263721553,1.4093358395989972
us-x-venezuela-military-engagement-by-december-31-391-819-722-945-174-285-817-971_No,maduro-out-in-2025-411_No,0.010714285714285714,0.4117647058823529,9.723600283486888,1.6280102040816327
"fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes, will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes",fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes,0.010714285714285714,0.525,8.365853658536585,1.9731471535982814
maduro-out-in-2025-411_Yes,us-x-venezuela-military-engagement-by-october-31-434-155-561_Yes,0.012244897959183673,0.3529411764705882,7.601809954751131,1.4737012987012985
"fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes, will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes",fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes,0.010714285714285714,0.3962264150943396,7.467343976777939,1.5683673469387753
will-satoshi-move-any-bitcoin-in-2025_No,xi-jinping-out-in-2025_No,0.010714285714285714,0.3620689655172414,6.889856042852361,1.4851902923331493
fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes,fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes,0.022448979591836733,0.4230769230769231,6.741713570981863,1.624557823129252
fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes,fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes,0.022448979591836733,0.3577235772357723,6.741713570981863,1.474347713769052
no-change-in-fed-interest-rates-after-september-2025-meeting_No,fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes,0.01020408163265306,0.4081632653061224,6.5040650406504055,1.5836206896551723
will-curtis-sliwa-drop-out-458_Yes,will-andrew-cuomo-win-the-2025-nyc-mayoral-election_Yes,0.012244897959183673,0.42105263157894735,6.113060428849902,1.6083024118738405
no-change-in-fed-interest-rates-after-september-2025-meeting_Yes,fed-decreases-interest-rates-by-25-bps-after-september-2025-meeting_Yes,0.01020408163265306,0.31746031746031744,5.982905982905983,1.387375415282392
fed-decreases-interest-rates-by-25-bps-after-december-2025-meeting_Yes,fed-decreases-interest-rates-by-25-bps-after-october-2025-meeting_Yes,0.010714285714285714,0.3620689655172414,5.76955424726661,1.4691947049089904
will-jack-ciattarelli-win-the-new-jersey-governor-election-in-2025_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.013775510204081633,0.9,5.617834394904459,8.397959183673471
"will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes, maduro-out-in-2025-411_No",will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01173469387755102,0.8846153846153847,5.521803037726604,7.278231292517011
will-zohran-mamdani-win-the-2025-nyc-mayoral-election_No,will-andrew-cuomo-win-the-2025-nyc-mayoral-election_Yes,0.01989795918367347,0.3644859813084112,5.291796469366563,1.4651485594237694
will-zohran-mamdani-win-by-0-10_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.013775510204081633,0.84375,5.26671974522293,5.37469387755102
will-mikie-sherrill-win-the-new-jersey-governor-election-in-2025_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.026020408163265306,0.8095238095238096,5.05307855626327,4.408928571428574
will-jacob-frey-win-the-2025-minneapolis-mayoral-election-419_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.011224489795918367,0.7857142857142857,4.904458598726114,3.9190476190476184
will-andrew-cuomo-win-the-2025-nyc-mayoral-election_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.02295918367346939,0.7627118644067797,4.760876605851236,3.539139941690963
katy-perry-and-justin-trudeau-confirmed-relationship-by-october-31_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.013265306122448979,0.7222222222222221,4.508138711960368,3.0232653061224477
democratic-sweep_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.012244897959183673,0.7058823529411764,4.406144623454477,2.8553061224489786
will-jos-antonio-kast-win-the-chilean-presidential-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.010714285714285714,0.7000000000000001,4.369426751592357,2.799319727891157
will-andrew-cuomo-win-second-place-in-the-2025-nyc-mayoral-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.012244897959183673,0.6857142857142857,4.280254777070064,2.672077922077922
will-donald-trump-be-the-1-searched-person-on-google-this-year_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.011224489795918367,0.6470588235294117,4.038965904833271,2.3794217687074823
will-zohran-mamdani-win-by-10-20_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.017346938775510204,0.6415094339622641,4.004326403076553,2.3425886143931254
will-curtis-sliwa-drop-out-458_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01479591836734694,0.6304347826086957,3.935198006092495,2.2723889555822328
will-mamdani-get-over-50-of-the-vote-in-the-general-mayoral-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01989795918367347,0.6190476190476191,3.8641188959660298,2.2044642857142858
lisa-cook-out-as-fed-governor-by-september-30_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.010714285714285714,0.6000000000000001,3.745222929936306,2.099489795918368
will-zohran-mamdani-win-by-20-30_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.011224489795918367,0.5945945945945945,3.7114821828197617,2.071496598639455
will-jay-jones-win-the-2025-virginia-attorney-general-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01020408163265306,0.588235294117647,3.671787186212064,2.039504373177842
will-trump-meet-with-xi-jinping-by-october-31_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.024489795918367346,0.5853658536585366,3.6538760292061516,2.0253901560624246
will-the-government-shutdown-end-november-4-7_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01020408163265306,0.5714285714285714,3.5668789808917194,1.9595238095238092
will-gavin-newsom-win-the-2028-democratic-presidential-nomination-568_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01020408163265306,0.5714285714285714,3.5668789808917194,1.9595238095238092
maduro-out-in-2025-411_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.023979591836734693,0.5662650602409638,3.534648146727035,1.9361961451247163
will-rodrigo-paz-win-the-2025-bolivia-presidential-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01479591836734694,0.5576923076923077,3.481136697697207,1.8986690328305236
will-the-party-for-freedom-win-the-most-seats-in-the-2025-netherlands-parliamentary-election_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.012755102040816327,0.5555555555555556,3.467799009200283,1.8895408163265306
russia-x-ukraine-ceasefire-in-2025_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.015816326530612244,0.5535714285714285,3.4554140127388533,1.8811428571428568
will-the-us-confirm-that-aliens-exist-in-2025_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.010714285714285714,0.5526315789473685,3.44954743546765,1.8771908763505403
will-donald-trump-win-nobel-peace-prize-in-2025-635_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.019387755102040816,0.5277777777777777,3.2944090587402686,1.7783913565426166
will-catherine-connolly-win-the-irish-presidential-election_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.01173469387755102,0.5227272727272728,3.2628836132020846,1.7595724003887272
over-1b-committed-to-the-megaeth-public-sale_Yes,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.013265306122448979,0.52,3.2458598726114647,1.7495748299319729
us-x-venezuela-military-engagement-by-october-31-434-155-561_No,will-zohran-mamdani-win-the-2025-nyc-mayoral-election_Yes,0.02295918367346939,0.5172413793103449,3.228640456841643,1.7395772594752188
